pitcher_id,sched_date,Level_Code,sched_id,event_id,pa,ab,1b,2b,3b,hr,bb,so,hit_exit_speed,hit_vertical_angle,pitch_type,play_code
81971,4/23/2025,afa,1256970,1,1,1,0,0,0,0,0,0,86.85783386,8.26363945,FF,43/G
81971,4/23/2025,afa,1256970,2,1,1,0,1,0,0,0,0,93.54034424,-2.623665571,CH,D7/G
81971,4/23/2025,afa,1256970,3,1,1,0,0,0,0,0,1,NULL,NULL,CH,K
81971,4/23/2025,afa,1256970,4,1,1,1,0,0,0,0,0,94.82933807,16.93579674,FC,S7/L.2-H
81971,4/23/2025,afa,1256970,5,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
81971,4/23/2025,afa,1256970,10,1,1,0,0,0,0,0,0,81.08573914,-30.57510757,FF,3/G
81971,4/23/2025,afa,1256970,11,1,1,0,0,0,0,0,1,NULL,NULL,SL,K
81971,4/23/2025,afa,1256970,12,1,1,0,0,0,0,0,0,77.27870941,39.25114059,FF,9/F
81971,4/23/2025,afa,1256970,18,1,1,0,0,0,0,0,0,87.3425827,17.95986748,SL,9/L
81971,4/23/2025,afa,1256970,19,1,1,1,0,0,0,0,0,NULL,NULL,NULL,S8/L
81971,4/23/2025,afa,1256970,20,0,0,0,0,0,0,0,0,NULL,NULL,FC,SB2
81971,4/23/2025,afa,1256970,21,1,1,0,0,0,0,0,0,82.39178467,-3.854096413,SL,63/G
81971,4/23/2025,afa,1256970,22,1,1,0,0,0,0,0,1,NULL,NULL,CH,K
81971,4/23/2025,afa,1256970,26,1,1,1,0,0,0,0,0,100.9592667,2.408735037,FT,S7/G
81971,4/23/2025,afa,1256970,27,1,1,0,0,0,0,0,0,63.26255417,-40.51723099,CH,3/G.1-2
81971,4/23/2025,afa,1256970,28,1,1,0,0,0,0,0,0,80.73464203,50.43095016,CH,8/F
81971,4/23/2025,afa,1256970,29,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
81971,4/12/2025,afa,1256971,31,1,1,0,0,0,0,0,1,NULL,NULL,SL,K
81971,4/12/2025,afa,1256971,32,1,1,1,0,0,0,0,0,85.54038239,17.64627457,SL,S7/L
81971,4/12/2025,afa,1256971,33,1,1,1,0,0,0,0,0,95.69111633,17.11791992,FT,S8/L.1-2
81971,4/12/2025,afa,1256971,34,1,1,0,0,0,0,0,1,NULL,NULL,SL,K
81971,4/12/2025,afa,1256971,35,1,0,0,0,0,0,1,0,NULL,NULL,CH,W.2-3;1-2
81971,4/12/2025,afa,1256971,36,1,1,0,0,0,0,0,1,NULL,NULL,FC,K
81971,4/12/2025,afa,1256971,44,1,1,0,1,0,0,0,0,96.44617462,19.387743,FF,D8/F
81971,4/12/2025,afa,1256971,45,1,1,0,0,0,0,0,0,108.3665543,-14.4986372,SL,63/G
81971,4/12/2025,afa,1256971,46,1,1,0,1,0,0,0,0,98.51853943,24.5833168,CH,D9/F.2-H
81971,4/12/2025,afa,1256971,47,1,1,0,0,0,0,0,1,NULL,NULL,SL,K23
81971,4/12/2025,afa,1256971,48,1,1,0,0,0,0,0,0,94.38996887,-13.46700191,FF,63/G
81971,4/12/2025,afa,1256971,52,1,1,0,0,0,0,0,0,86.67180634,25.4535141,FF,8/L
82042,6/1/2025,afa,1256421,59,1,1,0,0,0,0,0,0,65.08518219,3.166275024,CU,63/G
82042,6/1/2025,afa,1256421,60,1,1,0,0,0,0,0,0,82.53520203,-43.36722565,FT,53/G
82042,6/1/2025,afa,1256421,61,1,1,0,0,0,0,0,1,NULL,NULL,FT,K
82042,5/29/2025,afa,1256424,72,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/29/2025,afa,1256424,73,1,1,1,0,0,0,0,0,101.2719345,-3.405840158,FT,S9/G
82042,5/29/2025,afa,1256424,74,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/29/2025,afa,1256424,75,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,4/20/2025,afa,1256441,38,1,1,0,0,0,0,0,0,75.41269684,38.23228455,FF,7/F
82042,4/20/2025,afa,1256441,39,1,1,0,0,0,0,0,0,93.69570923,32.72740173,FF,9/F
82042,4/20/2025,afa,1256441,40,1,1,0,0,0,0,0,0,69.99015808,-37.77157211,FF,3/G-
82042,4/15/2025,afa,1256445,22,1,1,0,0,0,0,0,0,64.41944122,-26.72244453,FF,53/G
82042,4/15/2025,afa,1256445,23,1,1,0,0,0,0,0,1,NULL,NULL,CH,K
82042,4/15/2025,afa,1256445,24,1,1,1,0,0,0,0,0,103.8761139,8.314078331,FT,S9/L+
82042,4/15/2025,afa,1256445,25,0,0,0,0,0,0,0,0,NULL,NULL,FF,SB2
82042,4/15/2025,afa,1256445,26,1,0,0,0,0,0,1,0,NULL,NULL,FF,W
82042,4/15/2025,afa,1256445,27,1,1,1,0,0,0,0,0,107.6937714,12.24081993,FF,S9/L+.2-H;1-3
82042,4/15/2025,afa,1256445,28,1,1,0,0,0,0,0,1,NULL,NULL,CH,K
82042,4/15/2025,afa,1256445,32,1,0,0,0,0,0,1,0,NULL,NULL,FF,W
82042,4/15/2025,afa,1256445,33,1,1,0,0,0,0,0,1,NULL,NULL,CH,K
82042,4/15/2025,afa,1256445,34,1,1,1,0,0,0,0,0,86.95051575,12.12930393,CH,S7/L.1-3
82042,4/15/2025,afa,1256445,37,1,0,0,0,0,0,1,0,NULL,NULL,FC,W
82042,4/15/2025,afa,1256445,38,1,0,0,0,0,0,1,0,NULL,NULL,FC,W.3-H;2-3;1-2
82042,4/15/2025,afa,1256445,39,1,1,0,1,0,0,0,0,105.8890533,24.38973236,CU,D8/F+.3-H;2-H;1-3
82042,4/15/2025,afa,1256445,40,1,0,0,0,0,0,1,0,NULL,NULL,FC,W
82042,5/4/2025,afa,1256699,78,1,1,1,0,0,0,0,0,110.18367,9.931375504,FF,S8/L+
82042,5/4/2025,afa,1256699,79,1,0,0,0,0,0,0,0,11.6543417,44.95835495,CU,HBP.1-2
82042,5/4/2025,afa,1256699,80,1,1,0,0,1,0,0,0,100.3201675,24.33926582,CH,T8/F+.2-H;1-H
82042,5/4/2025,afa,1256699,81,1,0,0,0,0,0,0,0,NULL,NULL,FF,HBP
82042,5/4/2025,afa,1256699,82,1,1,0,0,0,0,0,0,93.83622742,-21.33901596,FF,36(1)/FO/G.3-H
82042,5/4/2025,afa,1256699,83,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/4/2025,afa,1256699,84,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/2/2025,afa,1256700,103,1,1,0,0,0,0,0,0,71.93927002,37.24855042,CH,9/F
82042,5/2/2025,afa,1256700,112,1,1,1,0,0,0,0,0,99.92998505,7.957875252,FC,S9/L.2-3
82042,5/2/2025,afa,1256700,113,1,1,0,0,0,0,0,1,NULL,NULL,CH,K
82042,5/2/2025,afa,1256700,114,1,1,0,1,0,0,0,0,92.53140259,-7.728065491,FF,D7/G.3-H(UR);1-3
82042,5/2/2025,afa,1256700,115,1,1,1,0,0,0,0,0,70.35115051,32.55438614,CU,S9/F-.3-H;2-3
82042,5/2/2025,afa,1256700,116,1,1,0,0,0,0,0,0,73.23863,-56.139224,FT,64(1)/FO/G.3-H
82042,5/2/2025,afa,1256700,117,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,4/30/2025,afa,1256702,61,1,1,0,0,0,1,0,0,96.27269745,35.49731827,FF,HR/7/F
82042,4/30/2025,afa,1256702,62,1,1,1,0,0,0,0,0,58.73789215,-54.35599899,FF,S5/G-
82042,4/30/2025,afa,1256702,63,1,1,0,0,0,0,0,0,73.91860199,-41.80022049,FT,E5/TH/G.1-3(5);B-2
82042,4/30/2025,afa,1256702,64,1,1,1,0,0,0,0,0,18.54046059,51.91735458,FF,S1/G-.3-H;2-3
82042,4/30/2025,afa,1256702,65,0,0,0,0,0,0,0,0,NULL,NULL,FT,SB2
82042,4/30/2025,afa,1256702,66,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,4/30/2025,afa,1256702,67,0,0,0,0,0,0,0,0,NULL,NULL,CU,WP.3-H(UR)(NR);2-3
82042,4/30/2025,afa,1256702,68,1,1,0,0,0,0,0,0,70.42164612,6.529595375,FT,63/G.3-H(UR)
82042,4/30/2025,afa,1256702,69,1,1,0,0,0,0,0,1,NULL,NULL,FF,K
82042,4/4/2025,afa,1256777,37,1,1,0,0,0,0,0,0,100.4305878,-9.79993248,FT,64(1)/FO/G.3-H;2-3
82042,4/4/2025,afa,1256777,38,1,1,0,0,0,0,0,0,78.06827545,-5.754803658,FF,3/G+.3-H;1-2
